route,lat sensor,lon sensor
r1,20.537055,-100.8157245
r1,20.5370355,-100.8157398
r1,20.53701617,-100.8157627
r1,20.536995,-100.8157833
r1,20.53698033,-100.8158043
r1,20.53696067,-100.815823
r1,20.536943,-100.8158337
r1,20.5369255,-100.8158687
r1,20.5369195,-100.8159092
r1,20.536899,-100.8159462
r1,20.536887,-100.8159713
r1,20.53687967,-100.8159977
r1,20.53687133,-100.8160197
r1,20.53686383,-100.8160385
r1,20.53685633,-100.81606
r1,20.53685467,-100.8160872
r1,20.536847,-100.8161198
r1,20.53683517,-100.8161513
r1,20.536819,-100.8161953
r1,20.536807,-100.8162273
r1,20.5368045,-100.8162605
r1,20.536806,-100.8163047
r1,20.53679933,-100.8163447
r1,20.5367925,-100.8163827
r1,20.536796,-100.816426
r1,20.53679133,-100.8164677
r1,20.53678033,-100.8165107
r1,20.53676983,-100.8165482
r1,20.53676467,-100.816593
r1,20.53676283,-100.816626
r1,20.5367646,-100.8166633
r1,20.5367635,-100.8166917
r1,20.536752,-100.8167312
r1,20.53673783,-100.8167722
r1,20.5367245,-100.8168143
r1,20.53671583,-100.8168468
r1,20.53670633,-100.8168877
r1,20.536697,-100.8169217
r1,20.53669267,-100.8169608
r1,20.536683,-100.8170023
r1,20.5366795,-100.8170318
r1,20.53667033,-100.8170643
r1,20.53665483,-100.8170903
r1,20.53662983,-100.8171103
r1,20.53660133,-100.8171333
r1,20.5365805,-100.8171472
r1,20.53656233,-100.8171707
r1,20.5365465,-100.8171818
r1,20.53652733,-100.8171957
r1,20.53651383,-100.8171982
r1,20.53649033,-100.817219
r1,20.53644933,-100.8172435
r1,20.53641733,-100.8172742
r1,20.53637767,-100.8172757
r1,20.53634767,-100.817281
r1,20.53631483,-100.8172827
r1,20.53628483,-100.8172765
r1,20.53626183,-100.8172767
r1,20.53624583,-100.8172715
r1,20.53623783,-100.8172758
r1,20.53622683,-100.8172763
r1,20.53621283,-100.817272
r1,20.53619817,-100.817267
r1,20.53618467,-100.8172597
r1,20.53617367,-100.8172698
r1,20.53616317,-100.8172778
r1,20.536156,-100.817281
r1,20.53614017,-100.8172797
r1,20.536133,-100.8172975
r1,20.53613233,-100.8173288
r1,20.5361295,-100.8173657
r1,20.53613217,-100.817413
r1,20.53613583,-100.8174642
r1,20.53614167,-100.8175188
r1,20.53615033,-100.8175815
r1,20.53615333,-100.8176437
r1,20.5361615,-100.8177132
r1,20.53616083,-100.8177923
r1,20.53615567,-100.8178708
r1,20.53614967,-100.8179592
r1,20.53615133,-100.8180493
r1,20.5361575,-100.818133
r1,20.5361455,-100.8182238
r1,20.5361325,-100.8183338
r1,20.53610533,-100.8184185
r1,20.53608133,-100.8185097
r1,20.53606417,-100.8185912
r1,20.53604383,-100.8186703
r1,20.5360235,-100.818748
r1,20.5360135,-100.8188072
r1,20.5360015,-100.8188472
r1,20.53598417,-100.818877
r1,20.5359595,-100.8189017
r1,20.53593283,-100.8189132
r1,20.53593483,-100.8188975
r1,20.53592367,-100.8189187
r1,20.53591867,-100.818932
r1,20.53591833,-100.8189315
r1,20.5359135,-100.8189422
r1,20.53591767,-100.8189485
r1,20.53591667,-100.8189527
r1,20.53591233,-100.8189623
r1,20.535913,-100.8189693
r1,20.53590583,-100.8189873
r1,20.5358995,-100.8190037
r1,20.53590383,-100.8190128
r1,20.5358945,-100.819031
r1,20.53589633,-100.8190468
r1,20.53589183,-100.819057
r1,20.535893,-100.8190613
r1,20.53589167,-100.8190635
r1,20.53590367,-100.8190675
r1,20.53591683,-100.8190705
r1,20.535915,-100.819083
r1,20.53592783,-100.8190958
r1,20.53594333,-100.8191207
r1,20.53596233,-100.8191382
r1,20.5359875,-100.8191547
r1,20.53601617,-100.819173
r1,20.53602967,-100.8192088
r1,20.53603967,-100.81926
r1,20.53606733,-100.8193077
r1,20.5360975,-100.81935
r1,20.53614533,-100.8193907
r1,20.536197,-100.8194352
r1,20.53625417,-100.819468
r1,20.53631383,-100.81951
r1,20.53638817,-100.8195475
r1,20.53648683,-100.8195807
r1,20.536577,-100.8196123
r1,20.53666267,-100.8196362
r1,20.53675733,-100.8196363
r1,20.53685867,-100.8196293
r1,20.53696667,-100.8196275
r1,20.53706967,-100.8196392
r1,20.53717033,-100.8196318
r1,20.53727017,-100.8196405
r1,20.53736733,-100.8196478
r1,20.537458,-100.8196562
r1,20.537565,-100.8196675
r1,20.5376615,-100.8196897
r1,20.537757,-100.8196915
r1,20.53783917,-100.819693
r1,20.5379215,-100.8196943
r1,20.538003,-100.8197038
r1,20.53809117,-100.8197233
r1,20.5381735,-100.8197245
r1,20.53825483,-100.8197342
r1,20.5383405,-100.8197415
r1,20.538427,-100.8197387
r1,20.5385175,-100.8197465
r1,20.5386025,-100.8197487
r1,20.53868917,-100.8197648
r1,20.5387705,-100.8197817
r1,20.538848,-100.8198092
r1,20.53889683,-100.819825
r1,20.53892283,-100.8198313
r1,20.53894517,-100.8198235
r1,20.53896867,-100.8197967
r1,20.5389885,-100.819764
r1,20.53900233,-100.8197227
r1,20.53901483,-100.8196848
r1,20.539027,-100.819625
r1,20.5390305,-100.8195662
r1,20.53903817,-100.8195043
r1,20.53904767,-100.819441
r1,20.53906133,-100.8193835
r1,20.53907617,-100.8193427
r1,20.53906533,-100.8193105
r1,20.53906667,-100.8192758
r1,20.53907083,-100.8192302
r1,20.5390825,-100.8191927
r1,20.5390985,-100.8191383
r1,20.5391075,-100.8190907
r1,20.53912417,-100.8190325
r1,20.53913767,-100.8189712
r1,20.53915533,-100.818908
r1,20.53916967,-100.8188285
r1,20.539185,-100.8187523
r1,20.5392015,-100.8186762
r1,20.53920933,-100.8186128
r1,20.53922317,-100.8185502
r1,20.53923567,-100.8184782
r1,20.53925083,-100.8184027
r1,20.539267,-100.8183222
r1,20.539283,-100.8182395
